,category,rating
2,Electronics|Accessories|MemoryCards|MicroSD,4.5
4,"Electronics|HomeTheater,TV&Video|Accessories|Cables|HDMICables",4.4
0,Computers&Accessories|ExternalDevices&DataStorage|PenDrives,4.3
5,Electronics|Mobiles&Accessories|MobileAccessories|Chargers|PowerBanks,4.3
1,Computers&Accessories|NetworkingDevices|NetworkAdapters|WirelessUSBAdapters,4.2
6,Electronics|Mobiles&Accessories|Smartphones&BasicMobiles|Smartphones,4.1
7,Home&Kitchen|Kitchen&Dining|KitchenTools|ManualChoppers&Chippers|Choppers,4.1
3,"Electronics|Headphones,Earbuds&Accessories|Headphones|In-Ear",4.0625
