Bin,Frequency
178912.0,7.0
191315.05,3.0
203718.1,1.0
216121.15,0.0
228524.2,0.0
240927.25,1.0
253330.3,0.0
265733.35,2.0
278136.4,0.0
290539.45,0.0
302942.5,4.0
315345.55,0.0
327748.6,0.0
340151.65,0.0
352554.69999999995,3.0
364957.75,0.0
377360.8,0.0
389763.85,0.0
402166.9,0.0
414569.94999999995,4.0
